StudentID,ENGL001,ENGL002,ENGL003,ENGL201,ENGL202,MATH100,MATH111i,MATH112i,MATH201,MATH203i,MATH211,MATH301i,PHYS101C,CSCI101,CSCI102,CSCI112,ECEN101C,CSCI205,CSCI207/ECEN204,CSCI208,CSCI212,CSCI217,CSCI305,CSCI311/ECEN432,CSCI315/ECEN427,CSCI410,CSCI304,CSCI313/ECEN428,CSCI322,CSCI364/MATH303,CSCI415/ECEN449,AIS201,AIS301,AIS302,AIS323,CSCI467/AIS331,CSCI451/AIS351,CSCI363,AIS411,CSCI461,AIS412,AIS421,AIS431,AIS455,AIS462,AIS463,CSCI465/ECEN433,CSCI469,AIS477,CSCI478,CSCI479,AIS480,CSCI481,CSCI482,AIS390,AIS490,AIS495,AIS496,HUMA001,HUMA001/101,HUMA002,HUMA101,HUMA102,ARTS-201,ARTS-205,ARTS105,ARTS118,ARTS201,PSCI-201,SPAN101,SSCI-103,SSCI-301,SSCI001,SSCI101,SSCI201,NSCI102
211001892,1,1,0,0,0,1,1,1,2,0,1,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
211001926,1,1,1,1,0,0,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
211001948,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
211001978,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
211002041,1,1,1,1,0,1,1,1,3,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
211002132,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211002176,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
211002194,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
212002407,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
221001592,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
